korpus.id,hit,task,ad.mace,ad.annotation,cutoff.mace,cutoff.annotation,loading.mace,loading.annotation,pornographic.mace,pornographic.annotation,popup.mace,popup.annotation,captcha.mace,captcha.annotation,error.mace,error.annotation
8312,1,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8618,1,2,yes,no,no,-,no,-,no,-,not,-,not,-,not,-
7603,1,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5957,1,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3036,1,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3144,2,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8839,2,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9953,2,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5428,2,4,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
7442,2,5,no,-,no,-,no,-,no,-,not,-,not,-,very,-
5629,3,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9634,3,2,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
5886,3,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7652,3,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2634,3,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5302,4,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8993,4,2,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
1101,4,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4007,4,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2133,4,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
1937,5,1,no,-,no,-,no,-,no,-,not,very,not,-,not,-
1912,5,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
465,5,3,no,-,no,-,no,-,yes,-,not,-,not,-,not,-
1381,5,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
871,5,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4820,6,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6927,6,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5461,6,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
523,6,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4340,6,5,yes,-,no,-,no,-,no,-,not,-,not,-,not,-
4601,7,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8768,7,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
917,7,3,no,-,no,-,no,-,no,-,very,-,not,-,not,-
5916,7,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
4755,7,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
3568,8,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9130,8,2,no,-,no,-,no,-,no,-,not,-,not,abit,not,-
9701,8,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
7062,8,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
8053,8,5,no,-,no,-,no,-,no,-,not,-,not,-,not,-
9615,9,1,no,-,no,-,no,-,no,-,not,-,not,-,not,-
6321,9,2,no,-,no,-,no,-,no,-,not,-,not,-,not,-
5097,9,3,no,-,no,-,no,-,no,-,not,-,not,-,not,-
2560,9,4,no,-,no,-,no,-,no,-,not,-,not,-,not,-
